================ Training Loss (Tue Apr  2 12:30:15 2024) ================
(epoch: 26, iters: 300, time: 0.127, data: 0.001) D_A: 0.084 G_A: 0.679 cycle_A: 0.416 idt_A: 0.553 D_B: 0.068 G_B: 0.322 cycle_B: 1.357 idt_B: 0.171 
(epoch: 26, iters: 400, time: 0.400, data: 0.001) D_A: 0.106 G_A: 0.684 cycle_A: 0.249 idt_A: 0.264 D_B: 0.258 G_B: 0.133 cycle_B: 0.987 idt_B: 0.071 
(epoch: 27, iters: 100, time: 0.127, data: 0.144) D_A: 0.171 G_A: 0.367 cycle_A: 0.352 idt_A: 0.368 D_B: 0.085 G_B: 0.311 cycle_B: 0.995 idt_B: 0.105 
(epoch: 27, iters: 200, time: 0.127, data: 0.001) D_A: 0.218 G_A: 0.157 cycle_A: 0.270 idt_A: 0.349 D_B: 0.198 G_B: 0.344 cycle_B: 0.883 idt_B: 0.093 
(epoch: 27, iters: 300, time: 0.127, data: 0.001) D_A: 0.064 G_A: 0.161 cycle_A: 0.379 idt_A: 0.401 D_B: 0.192 G_B: 0.617 cycle_B: 0.974 idt_B: 0.191 
(epoch: 27, iters: 400, time: 0.408, data: 0.001) D_A: 0.237 G_A: 0.501 cycle_A: 0.402 idt_A: 0.269 D_B: 0.386 G_B: 0.662 cycle_B: 0.726 idt_B: 0.159 
(epoch: 28, iters: 100, time: 0.127, data: 0.141) D_A: 0.232 G_A: 0.339 cycle_A: 0.311 idt_A: 0.383 D_B: 0.315 G_B: 1.172 cycle_B: 0.861 idt_B: 0.159 
(epoch: 28, iters: 200, time: 0.127, data: 0.001) D_A: 0.207 G_A: 1.216 cycle_A: 0.383 idt_A: 0.364 D_B: 0.181 G_B: 0.223 cycle_B: 0.910 idt_B: 0.147 
(epoch: 28, iters: 300, time: 0.127, data: 0.001) D_A: 0.267 G_A: 0.280 cycle_A: 0.524 idt_A: 0.417 D_B: 0.310 G_B: 1.103 cycle_B: 1.103 idt_B: 0.276 
(epoch: 28, iters: 400, time: 0.362, data: 0.001) D_A: 0.192 G_A: 0.523 cycle_A: 0.306 idt_A: 0.352 D_B: 0.055 G_B: 0.980 cycle_B: 0.817 idt_B: 0.091 
(epoch: 29, iters: 100, time: 0.127, data: 0.155) D_A: 0.258 G_A: 0.139 cycle_A: 0.367 idt_A: 0.367 D_B: 0.098 G_B: 0.595 cycle_B: 0.917 idt_B: 0.071 
(epoch: 29, iters: 200, time: 0.127, data: 0.001) D_A: 0.121 G_A: 0.756 cycle_A: 0.488 idt_A: 0.434 D_B: 0.167 G_B: 0.525 cycle_B: 0.968 idt_B: 0.151 
(epoch: 29, iters: 300, time: 0.127, data: 0.001) D_A: 0.223 G_A: 0.481 cycle_A: 0.269 idt_A: 0.351 D_B: 0.106 G_B: 0.381 cycle_B: 0.857 idt_B: 0.091 
(epoch: 29, iters: 400, time: 0.394, data: 0.001) D_A: 0.072 G_A: 0.289 cycle_A: 0.288 idt_A: 0.263 D_B: 0.149 G_B: 0.233 cycle_B: 0.693 idt_B: 0.110 
(epoch: 30, iters: 100, time: 0.127, data: 0.158) D_A: 0.205 G_A: 0.658 cycle_A: 0.394 idt_A: 0.422 D_B: 0.160 G_B: 0.504 cycle_B: 1.041 idt_B: 0.086 
(epoch: 30, iters: 200, time: 0.128, data: 0.001) D_A: 0.130 G_A: 0.554 cycle_A: 0.262 idt_A: 0.329 D_B: 0.104 G_B: 0.637 cycle_B: 0.823 idt_B: 0.084 
(epoch: 30, iters: 300, time: 0.127, data: 0.001) D_A: 0.196 G_A: 0.263 cycle_A: 0.326 idt_A: 0.338 D_B: 0.036 G_B: 0.339 cycle_B: 0.830 idt_B: 0.122 
(epoch: 30, iters: 400, time: 0.422, data: 0.001) D_A: 0.078 G_A: 0.572 cycle_A: 0.293 idt_A: 0.254 D_B: 0.088 G_B: 0.396 cycle_B: 0.678 idt_B: 0.082 
(epoch: 31, iters: 100, time: 0.127, data: 0.190) D_A: 0.182 G_A: 0.414 cycle_A: 0.543 idt_A: 0.314 D_B: 0.269 G_B: 0.264 cycle_B: 0.857 idt_B: 0.116 
(epoch: 31, iters: 200, time: 0.127, data: 0.001) D_A: 0.220 G_A: 0.670 cycle_A: 0.468 idt_A: 0.295 D_B: 0.336 G_B: 0.501 cycle_B: 0.744 idt_B: 0.143 
